id	level	simp	trad	pinyin	tones	pos	notationSimp	notationTrad	defs
L1-0001	1	爱	愛	ài	4	V	爱	愛	to love; to be fond of; to like; affection; to be inclined (to do sth); to tend to (happen)
L1-0002	1	爱好	愛好	ài hào	4,4	V/N	爱好	愛好	to like; to be fond of; to take pleasure in; to be keen on; interest; hobby
L1-0003	1	八	八	bā	1	Num	八	八	eight
L1-0004	1	爸爸	爸爸	bà ba	4,5	N	爸爸|爸	爸爸|爸	(coll.) father; dad; CL:位[wei4]
L1-0005	1	吧	吧	ba	5	Aux	吧	吧	(modal particle indicating suggestion or surmise); ...right?; ...OK?; ...I presume.
L1-0006	1	白	白	bái	2	Adj	白	白	white; in vain; free of charge; (bound form) (of facts, the truth, a situation) clear; evident (e.g. 真相大白[zhen1 xiang4 da4 bai2]); (bound form) plain; without additions (e.g. 白飯|白饭[bai2 fan4]); (bound form) to explain; to state (e.g. 辯白|辩白[bian4 bai2]); (bound form) to give a disdainful look (e.g. 白了他一眼[bai2 le5 ta1 yi1 yan3]); (bound form) vernacular (e.g. 白話|白话[bai2 hua4]); (bound form) spoken lines in opera (e.g. 念白[nian4 bai2]); (bound form) reactionary; anti-communist (e.g. 白區|白区[bai2 qu1])
L1-0007	1	白天	白天	bái tiān	2,1	N	白天	白天	daytime; during the day; day; CL:個|个[ge4]
L1-0008	1	百	百	bǎi	3	Num	百	百	hundred; numerous; all kinds of
L1-0009	1	班	班	bān	1	N/M	班	班	team; class; grade; (military) squad; work shift; classifier for groups of people and scheduled transport vehicles
L1-0010	1	半	半	bàn	4	Num	半	半	half; semi-; incomplete; (after a number) and a half
L1-0011	1	半年	半年	bàn nián	4,2		半年	半年	half a year
L1-0012	1	半天	半天	bàn tiān	4,1		半天	半天	half of the day; a long time; quite a while; midair; CL:個|个[ge4]
L1-0013	1	帮	幫	bāng	1	V	帮	幫	to help; to assist; to support; for sb (i.e. as a help); hired (as worker); side (of pail, boat etc); outer layer; upper (of a shoe); group; gang; clique; party; secret society
L1-0014	1	帮忙	幫忙	bāng máng	1,2		帮忙	幫忙	to help; to lend a hand; to do a favor; to do a good turn
L1-0015	1	包	包	bāo	1	N/M/V	包	包	to cover; to wrap; to hold; to include; to take charge of; to contract (to or for); package; wrapper; container; bag; to hold or embrace; bundle; packet; CL:個|个[ge4],隻|只[zhi1]
L1-0016	1	包子	包子	bāo zi	1,5	N	包子	包子	baozi; bao (steamed stuffed bun)
L1-0017	1	杯	杯	bēi	1	M	杯	杯	cup; trophy cup; classifier for certain containers of liquids: glass, cup
L1-0018	1	杯子	杯子	bēi zi	1,5	N	杯子	杯子	cup; glass; CL:個|个[ge4],隻|只[zhi1]
L1-0019	1	北	北	běi	3	N	北	北	north; (classical) to be defeated
L1-0020	1	北边	北邊	běi biān	3,1	N	北边	北邊	north; north side; northern part; to the north of
L1-0021	1	北京	北京	Běi jīng	3,1	N	北京	北京	Beijing municipality, capital of the People's Republic of China (short name 京[Jing1])
L1-0022	1	本	本	běn	3	M	本	本	(bound form) root; stem; (bound form) origin; source; (bound form) one's own; this; (bound form) this; the current (year etc); (bound form) original; (bound form) inherent; originally; initially; capital; principal; classifier for books, periodicals, files etc
L1-0023	1	本子	本子	běn zi	3,5	N	本子	本子	book; notebook; Japanese-style self-published comic (esp. an erotic one), aka "dōjinshi"; CL:本[ben3]; edition
L1-0024	1	比	比	bǐ	3	Prep/V	比	比	to compare; (followed by a noun and adjective) more {adj.} than {noun}; ratio; to gesture; (Taiwan pr. [bi4] in some compounds derived from Classical Chinese)
L1-0025	1	别	別	bié	2	Adv	别	別	to leave; to part (from); (literary) to differentiate; to distinguish; (dialect) to turn away; to turn aside; to avert (one's face, gaze etc); (bound form) other; another; different; don't ...!; to fasten with a pin or clip; to stick in; to insert (in order to hinder movement); (noun suffix) category (as in 性別|性别[xing4 bie2], 派別|派别[pai4 bie2])
L1-0026	1	别的	別的	bié de	2,5	Pron	别的	別的	else; other
L1-0027	1	别人	別人	bié ren	2,5	Pron	别人	別人	other people; others; other person
L1-0028	1	病	病	bìng	4	N/V	病	病	illness; CL:場|场[chang2]; disease; to fall ill; defect
L1-0029	1	病人	病人	bìng rén	4,2	N	病人	病人	sick person; patient; invalid; CL:個|个[ge4]
L1-0030	1	不大	不大	bù dà	4,4		不大	不大	not very (clear, far away etc); not too; not often; infrequently
L1-0031	1	不对	不對	bù duì	4,4	Adj	不对	不對	incorrect; wrong; amiss; abnormal; queer
L1-0032	1	不客气	不客氣	bù kè qi	4,4,5		不客气	不客氣	you're welcome; don't mention it; impolite; rude; blunt
L1-0033	1	不用	不用	bù yòng	4,4	Adv	不用	不用	need not
L1-0034	1	不	不	bù	4	Adv	不	不	no; not so; (bound form) not; un-
L1-0035	1	菜	菜	cài	4	N	菜	菜	vegetable; greens (CL:棵[ke1]); dish (of food) (CL:樣|样[yang4],道[dao4],盤|盘[pan2]); (of one's skills etc) weak; poor; (coll.) (one's) type
L1-0036	1	茶	茶	chá	2	N	茶	茶	tea; tea plant; CL:杯[bei1],壺|壶[hu2]
L1-0037	1	差	差	chà	4	V/Adj	差	差	different; wrong; mistaken; to fall short; to lack; not up to standard; inferior; Taiwan pr. [cha1]
L1-0038	1	常	常	cháng	2	Adv	常	常	always; ever; often; frequently; common; general; constant
L1-0039	1	常常	常常	cháng cháng	2,2	Adv	常常	常常	frequently; often
L1-0040	1	唱	唱	chàng	4	V	唱	唱	to sing; to call loudly; to chant
L1-0041	1	唱歌	唱歌	chàng gē	4,1		唱歌	唱歌	to sing a song
L1-0042	1	车	車	chē	1	N	车	車	car; vehicle; CL:輛|辆[liang4]; machine; to shape with a lathe; Kangxi radical 159
L1-0043	1	车票	車票	chē piào	1,4	N	车票	車票	ticket (for a bus or train)
L1-0044	1	车上	車上	chē shang			车上	車上	in or on a vehicle
L1-0045	1	车站	車站	chē zhàn	1,4	N	车站	車站	rail station; bus stop; CL:處|处[chu4],個|个[ge4]
L1-0046	1	吃	吃	chī	1	V	吃	吃	to eat; to consume; to eat at (a cafeteria etc); to eradicate; to destroy; to absorb; to suffer (shock, injury, defeat etc)
L1-0047	1	吃饭	吃飯	chī fàn	1,4		吃饭	吃飯	to have a meal; to eat; to make a living
L1-0048	1	出	出	chū	1	V	出	出	to go out; to come out; to arise; to occur; to produce; to yield; to go beyond; to exceed; (used after a verb to indicate an outward direction or a positive result); classifier for dramas, plays, operas etc
L1-0049	1	出来	出來	chū lái	1,2		出来	出來	to come out; to appear; to arise
L1-0050	1	出去	出去	chū qù	1,4		出去	出去	to go out
L1-0051	1	穿	穿	chuān	1	V	穿	穿	to bore through; to pierce; to perforate; to go through (e.g. a tunnel); to cross (e.g. a street); to thread; to string together; to wear; to put on (clothes, shoes etc.); verb complement indicating thoroughness or completion
L1-0052	1	床	床	chuáng	2	N	床	床	bed; couch (furniture that one can lie down on) (CL:張|张[zhang1]); bed; bottom (of rivers, oceans, gardens etc); frame; chassis; classifier for blankets, quilts etc
L1-0053	1	次	次	cì	4	M	次	次	next in sequence; second; the second (day, time etc); secondary; vice-; sub-; infra-; inferior quality; substandard; order; sequence; hypo- (chemistry); classifier for enumerated events: time
L1-0054	1	从	從	cóng	2	Prep	从	從	from; through; via; (bound form) to follow; (bound form) to obey; (bound form) to engage in (an activity); (used before a negative) ever; (bound form) (Taiwan pr. [zong4]) retainer; attendant; (bound form) (Taiwan pr. [zong4]) assistant; auxiliary; subordinate; (bound form) (Taiwan pr. [zong4]) related by common paternal grandfather or earlier ancestor
L1-0055	1	错	錯	cuò	4	Adj/N	错	錯	mistake; wrong; bad; interlocking; complex; to grind; to polish; to alternate; to stagger; to miss; to let slip; to evade; to inlay with gold or silver
L1-0056	1	打	打	dǎ	3	V	打	打	a semantically light, transitive verb that is combined with various grammatical objects to form compound verbs and verb-object phrases with a diverse range of meanings (e.g. 打傘|打伞[da3 san3] "to hold an umbrella", 打電話|打电话[da3 dian4 hua4] "to make a phone call", 打針|打针[da3 zhen1] "to get an injection", 打手套[da3 shou3 tao4] "to knit gloves", 打氣|打气[da3 qi4] "to inflate"); to hit; to strike; to fight; (coll.) from; since (as in 打那以後|打那以后[da3 na4 yi3 hou4] "since then")
L1-0057	1	打车	打車	dǎ chē	3,1		打车	打車	to take a taxi (in town); to hitch a lift
L1-0058	1	打电话	打電話	dǎ diàn huà	3,4,4		打电话	打電話	to make a telephone call
L1-0059	1	打开	打開	dǎ kāi	3,1		打开	打開	to open; to show (a ticket); to turn on; to switch on
L1-0060	1	打球	打球	dǎ qiú	3,2		打球	打球	to play ball; to play with a ball
L1-0061	1	大	大	dà	4	Adj	大	大	big; large; great; older (than another person); eldest (as in 大姐[da4 jie3]); greatly; freely; fully; (dialect) father; (dialect) uncle (father's brother)
L1-0062	1	大学	大學	dà xué	4,2	N	大学	大學	university; college; CL:所[suo3]
L1-0063	1	大学生	大學生	dà xué shēng	4,2,1	N	大学生	大學生	university student; college student
L1-0064	1	到	到	dào	4	V	到	到	to reach; to arrive; to leave for; to go to; to (a place); until (a time); up to (a point); (verb complement indicating arriving at a place or reaching a point); considerate; thoughtful; thorough
L1-0065	1	得到	得到	dé dào	2,4		得到	得到	to get; to obtain; to receive
L1-0066	1	地	地	de	5	Aux	地	地	-ly; structural particle: used before a verb or adjective, linking it to preceding modifying adverbial adjunct
L1-0067	1	的	的	de	5	Aux	的	的	of; ~'s (possessive particle); (used after an attribute when it modifies a noun); (used at the end of a declarative sentence for emphasis); (used after a noun, verb or adjective to form a nominal expression, as in 皮革的[pi2 ge2 de5] "one made of leather" or 跑堂兒的|跑堂儿的[pao3 tang2 r5 de5] "a waiter (literally, one who runs back and forth in a restaurant)" or 新的[xin1 de5] "new one"); also pr. [di4] or [di5] in poetry and songs
L1-0068	1	等	等	děng	3	V	等	等	to wait for; to await; by the time; when; till; and so on; etc.; et al.; (bound form) class; rank; grade; (bound form) equal to; same as; (used to end an enumeration); (literary) (plural suffix attached to a personal pronoun or noun)
L1-0069	1	地	地	dì	4	N	地	地	earth; ground; field; place; land; CL:片[pian4]
L1-0070	1	地点	地點	dì diǎn	4,3	N	地点	地點	place; site; location; venue; CL:個|个[ge4]
L1-0071	1	地方	地方	dì fang	4,5	N	地方	地方	place; location; area; space; territory; aspect; part; CL:處|处[chu4]
L1-0072	1	地上	地上	dì shang	4,5		地上	地上	on the ground; on the floor
L1-0073	1	地图	地圖	dì tú	4,2	N	地图	地圖	map; CL:張|张[zhang1],本[ben3]
L1-0074	1	弟弟	弟弟	dì di	4,5	N	弟弟|弟	弟弟|弟	younger brother; CL:個|个[ge4],位[wei4]
L1-0075	1	第	第	dì	4	Prefix	第（第二）	第（第二）	(prefix indicating ordinal number, as in 第六[di4 liu4] "sixth"); (literary) grades in which successful candidates in the imperial examinations were placed; (old) residence of a high official; (literary) but; however; (literary) only; just
L1-0076	1	点	點	diǎn	3	M/V/N	点	點	to touch briefly; to tap; to mark with a dot; to check off (on a list); to order (food etc); to select; to mention; to bring up (a topic or person); to hint at; to imply; to administer (eye medicine etc) in drops; to light (a fire, a lamp etc); to ignite; to nod (one's head) in agreement; to beckon by moving (one's hand) up and down; point; dot; spot; speck; dot stroke in Chinese characters; (math.) decimal point; point in time or space; (after a number) o'clock; a small amount; a bit; (after a verb or adjective) a bit more; classifier for small amounts
L1-0077	1	电	電	diàn	4	N	电	電	lightning; electricity; electric (bound form); to get (or give) an electric shock; phone call or telegram etc; to send via telephone or telegram etc
L1-0078	1	电话	電話	diàn huà	4,4	N	电话	電話	telephone; CL:部[bu4]; phone call; CL:通[tong1]; phone number
L1-0079	1	电脑	電腦	diàn nǎo	4,3	N	电脑	電腦	computer; CL:臺|台[tai2]
L1-0080	1	电视	電視	diàn shì	4,4	N	电视	電視	television; TV; CL:臺|台[tai2],部[bu4]
L1-0081	1	电视机	電視機	diàn shì jī	4,4,1	N	电视机	電視機	television set; CL:臺|台[tai2]
L1-0082	1	电影	電影	diàn yǐng	4,3	N	电影	電影	movie; film; CL:部[bu4]
L1-0083	1	电影院	電影院	diàn yǐng yuàn	4,3,4	N	电影院	電影院	cinema; movie theater; CL:家[jia1],座[zuo4]
L1-0084	1	东	東	dōng	1	N	东	東	east; host (i.e. sitting on east side of guest); landlord
L1-0085	1	东边	東邊	dōng bian	1,5	N	东边	東邊	east; east side; eastern part; to the east of
L1-0086	1	东西	東西	dōng xi	1,5	N	东西	東西	thing; stuff; person; CL:個|个[ge4],件[jian4]
L1-0087	1	动	動	dòng	4	V	动	動	(of sth) to move; to set in movement; to displace; to touch; to make use of; to stir (emotions); to alter; abbr. for 動詞|动词[dong4 ci2], verb
L1-0088	1	动作	動作	dòng zuò	4,4	N	动作	動作	movement; motion; action; to act; to move
L1-0089	1	都	都	dōu	1	Adv	都	都	all; both; entirely; (used for emphasis) even; already; (not) at all
L1-0090	1	读	讀	dú	2	V	读	讀	to read out; to read aloud; to read; to attend (school); to study (a subject in school); to pronounce
L1-0091	1	读书	讀書	dú shū	2,1		读书	讀書	to read a book; to study; to attend school
L1-0092	1	对	對	duì	4	Adj	对	對	right; correct; towards; at; for; concerning; regarding; to treat (sb a certain way); to face; (bound form) opposite; facing; matching; to match together; to adjust; to fit; to suit; to answer; to reply; to add; to pour in (a fluid); to check; to compare; classifier: couple; pair
L1-0093	1	对不起	對不起	duì bu qǐ	4,5,3	V	对不起	對不起	I'm sorry; excuse me; I beg your pardon; to let (sb) down; to disappoint
L1-0094	1	多	多	duō	1	Adj/Pron	多	多	many; much; more; a lot of; too many; in excess; (after a numeral) ... odd; how (to what extent) (Taiwan pr. [duo2]); (bound form) multi-; poly-
L1-0095	1	多少	多少	duō shao	1,5	Pron	多少	多少	how much?; how many?; (phone number, student ID etc) what number?
L1-0096	1	饿	餓	è	4	Adj/V	饿	餓	hungry; to starve (sb)
L1-0097	1	儿子	兒子	ér zi	2,5	N	儿子	兒子	son
L1-0098	1	二	二	èr	4	Num	二	二	two; 2; (Beijing dialect) stupid
L1-0099	1	饭	飯	fàn	4	N	饭	飯	cooked rice; CL:碗[wan3]; meal; CL:頓|顿[dun4]; (loanword) fan; devotee
L1-0100	1	饭店	飯店	fàn diàn	4,4	N	饭店	飯店	restaurant; hotel; CL:家[jia1]
L1-0101	1	房间	房間	fáng jiān	2,1	N	房间	房間	room; CL:間|间[jian1]
L1-0102	1	房子	房子	fáng zi	2,5	N	房子	房子	house; building (single- or two-story); apartment; room; CL:棟|栋[dong4],幢[zhuang4],座[zuo4],套[tao4],間|间[jian1]
L1-0103	1	放	放	fàng	4	V	放	放	to put; to place; to release; to free; to let go; to let out; to set off (fireworks)
L1-0104	1	放假	放假	fàng jià	4,4		放假	放假	to have a holiday or vacation
L1-0105	1	放学	放學	fàng xué	4,2		放学	放學	to dismiss students at the end of the school day
L1-0106	1	飞	飛	fēi	1	V	飞	飛	to fly
L1-0107	1	飞机	飛機	fēi jī	1,1	N	飞机	飛機	airplane; CL:架[jia4]
L1-0108	1	非常	非常	fēi cháng	1,2	Adv	非常	非常	very; really; unusual; extraordinary
L1-0109	1	分	分	fēn	1	N/M	分	分	to divide; to separate; to distribute; to allocate; to distinguish (good and bad); (bound form) branch of (an organization); sub- (as in 分局[fen1 ju2]); fraction; one tenth (of certain units); unit of length equivalent to 0.33 cm; minute (unit of time); minute (angular measurement unit); a point (in sports or games); 0.01 yuan (unit of money)
L1-0110	1	风	風	fēng	1	N	风	風	wind; news; style; custom; manner; CL:陣|阵[zhen4],絲|丝[si1]
L1-0111	1	干	乾	gān	1	Adj	干	乾	dry; dried food; empty; hollow; taken in to nominal kinship; adoptive; foster; futile; in vain; (dialect) rude; blunt; (dialect) to cold-shoulder
L1-0112	1	干净	乾淨	gān jìng	1,4	Adj	干净	乾淨	clean; neat
L1-0113	1	干	幹	gàn	4	V	干	幹	tree trunk; main part of sth; to manage; to work; to do; capable; cadre; to kill (slang); to fuck (vulgar); (coll.) pissed off; annoyed
L1-0114	1	干什么	幹什麼	gàn shén me	4,2,5		干什么	幹什麼	what are you doing?; what's he up to?
L1-0115	1	高	高	gāo	1	Adj	高	高	high; tall; above average; loud; your (honorific)
L1-0116	1	高兴	高興	gāo xìng	1,4	Adj	高兴	高興	happy; glad; willing (to do sth); in a cheerful mood
L1-0117	1	告诉	告訴	gào su	4,5	V	告诉	告訴	to tell; to inform; to let know
L1-0118	1	哥哥	哥哥	gē ge	1,5	N	哥哥|哥	哥哥|哥	older brother; CL:個|个[ge4],位[wei4]
L1-0119	1	歌	歌	gē	1	N	歌	歌	song (CL:首[shou3],支[zhi1]); (bound form) to sing
L1-0120	1	个	個	gè	4	M	个	個	(classifier used before a noun that has no specific classifier); (bound form) individual
L1-0121	1	给	給	gěi	3	V/Prep	给	給	to; for; for the benefit of; to give; to allow; to do sth (for sb); (grammatical equivalent of 被); (grammatical equivalent of 把); (sentence intensifier)
L1-0122	1	跟	跟	gēn	1	Prep/Conj/V	跟	跟	heel; to follow closely; to go with; (of a woman) to marry sb; with; compared with; to; towards; and (joining two nouns)
L1-0123	1	工人	工人	gōng rén	1,2	N	工人	工人	worker; CL:個|个[ge4],名[ming2]
L1-0124	1	工作	工作	gōng zuò	1,4	V/N	工作	工作	to work; (of a machine) to operate; job; work; task; CL:個|个[ge4],份[fen4],項|项[xiang4]
L1-0125	1	关	關	guān	1	V	关	關	mountain pass; to close; to shut; to turn off; to confine; to lock (sb) up; to shut (sb in a room, a bird in a cage etc); to concern; to involve
L1-0126	1	关上	關上	guān shàng	1,4		关上	關上	to close (a door); to turn off (light, electrical equipment etc)
L1-0127	1	贵	貴	guì	4	Adj	贵	貴	expensive; (bound form) highly valued; precious; (bound form) noble; of high rank; (prefix) (honorific) your
L1-0128	1	国	國	guó	2	N	国	國	country; nation; state; (bound form) national
L1-0129	1	国家	國家	guó jiā	2,1	N	国家	國家	country; nation; state
L1-0130	1	国外	國外	guó wài	2,4		国外	國外	abroad; external (affairs); overseas; foreign
L1-0131	1	过	過	guò	4	V	过	過	to cross; to go over; to pass (time); to celebrate (a holiday); to live; to get along; excessively; too-
L1-0132	1	还	還	hái	2	Adv	还	還	still; still in progress; still more; yet; even more; in addition; fairly; passably (good); as early as; even; also; else
L1-0133	1	还是	還是	hái shi	2,5	Adv/Conj	还是	還是	still (as before); had better; unexpectedly; or
L1-0134	1	还有	還有	hái yǒu	2,3		还有	還有	there still remain(s); there is (or are) still; in addition
L1-0135	1	孩子	孩子	hái zi	2,5	N	孩子	孩子	child
L1-0136	1	汉语	漢語	Hàn yǔ	4,3	N	汉语	漢語	Chinese language
L1-0137	1	汉字	漢字	hàn zì	4,4	N	汉字	漢字	Chinese character(s)
L1-0138	1	好	好	hǎo	3	Adj	好	好	good; appropriate; proper; all right!; (before a verb) easy to; (before a verb) good to; (before an adjective for exclamatory effect) so; (verb complement indicating completion); (of two people) close; on intimate terms; (after a personal pronoun) hello
L1-0139	1	好吃	好吃	hǎo chī	3,1	Adj	好吃	好吃	tasty; delicious
L1-0140	1	好看	好看	hǎo kàn	3,4	Adj	好看	好看	good-looking; nice-looking; (of a movie, book, TV show etc) good; in an embarrassing situation
L1-0141	1	好听	好聽	hǎo tīng	3,1	Adj	好听	好聽	pleasant to hear
L1-0142	1	好玩儿	好玩兒	hǎo wán r	3,2,5	Adj	好玩儿	好玩兒	erhua variant of 好玩[hao3 wan2]
L1-0143	1	号	號	hào	4	N/M	号	號	(literary) to call out; to command; (bound form) bugle; trumpet; (bound form) signal; bugle call (e.g. 起床號|起床号[qi3 chuang2 hao4]); (bound form) mark; sign; to mark; to label; to assign a number; (bound form) name; appellation (e.g. 國號|国号[guo2 hao4], 年號|年号[nian2 hao4], 遼寧號|辽宁号[Liao2 ning2 Hao4]); (after a numeral) number designation (e.g. 237號房間|237号房间[er4 san1 qi1 hao4 fang2 jian1] "Room 237"); day of the month (e.g. 七號|七号[qi1 hao4] "the 7th"); (bound form) size; type; category (e.g. 五號電池|五号电池[wu3 hao4 dian4 chi2]); (TCM) to feel (the pulse) (used in 號脈|号脉[hao4 mai4]); classifier for numbered people or items
L1-0144	1	喝	喝	hē	1	V	喝	喝	to drink; variant of 嗬[he1]
L1-0145	1	和	和	hé	2	Prep/Conj	和	和	(joining two nouns) and; together with; with (Taiwan pr. [han4]); (math.) sum; to make peace; (sports) to draw; to tie; (bound form) harmonious; (bound form) Japan; Japanese
L1-0146	1	很	很	hěn	3	Adv	很	很	very; quite; (also, often used before an adjective without intensifying its meaning, i.e. as a meaningless syntactic element)
L1-0147	1	后	後	hòu	4	N	后	後	back; behind; rear; afterwards; after; later; post-
L1-0148	1	后边	後邊	hòu bian	4,5	N	后边	後邊	the back; the rear; the last bit; behind; near the end; at the back; later; afterwards
L1-0149	1	后天	後天	hòu tiān	4,1	N	后天	後天	the day after tomorrow; life after birth (the period in which one develops through experiences, contrasted with 先天[xian1 tian1]); acquired (not innate or congenital); a posteriori
L1-0150	1	花	花	huā	1	N	花	花	flower; blossom; CL:朵[duo3],支[zhi1],束[shu4],把[ba3],盆[pen2],簇[cu4]; fancy pattern; florid; to spend (money, time); (coll.) lecherous; lustful
L1-0151	1	话	話	huà	4	N	话	話	dialect; language; spoken words; speech; talk; words; conversation; what sb said; CL:種|种[zhong3],席[xi2],句[ju4],口[kou3],番[fan1]
L1-0152	1	坏	壞	huài	4	Adj	坏	壞	bad; spoiled; broken; to break down; (suffix) to the utmost
L1-0153	1	还	還	huán	2	V	还	還	to pay back; to return
L1-0154	1	回	回	huí	2	V	回	回	to go back; to return; to turn back; to turn around; to reply; to answer; classifier for literary divisions (acts of a play, sections or chapters of a classic book); classifier for occurrences or times
L1-0155	1	回答	回答	huí dá	2,2	V/N	回答	回答	to reply; to answer; reply; answer
L1-0156	1	回到	回到	huí dào	2,4	V	回到	回到	to return to
L1-0157	1	回家	回家	huí jiā	2,1		回家	回家	to return home
L1-0158	1	回来	回來	huí lai	2,5		回来	回來	to return; to come back
L1-0159	1	回去	回去	huí qu	2,5		回去	回去	to return; to go back
L1-0160	1	会	會	huì	4	V	会	會	can; to have the skill; to know how to; to be likely to; to be sure to; to meet; to get together; meeting; gathering; (suffix) union; group; association; (bound form) a moment (Taiwan pr. [hui3])
L1-0161	1	火车	火車	huǒ chē	3,1	N	火车	火車	train; CL:列[lie4],節|节[jie2],班[ban1],趟[tang4]
L1-0162	1	机场	機場	jī chǎng	1,3	N	机场	機場	airport; airfield; (slang) service provider for Shadowsocks or similar software for circumventing Internet censorship; CL:家[jia1],處|处[chu4]
L1-0163	1	机票	機票	jī piào	1,4	N	机票	機票	plane ticket; airline ticket; CL:張|张[zhang1]
L1-0164	1	鸡蛋	雞蛋	jī dàn	1,4	N	鸡蛋	雞蛋	(chicken) egg; hen's egg; CL:個|个[ge4],打[da2]
L1-0165	1	几	幾	jǐ	3	Num/Pron	几	幾	how many; how much; several; a few
L1-0166	1	记	記	jì	4	V	记	記	to record; to note; to memorize; to remember; mark; sign; classifier for blows, kicks, shots
L1-0167	1	记得	記得	jì de	4,5	V	记得	記得	to remember
L1-0168	1	记住	記住	jì zhu	4,5		记住	記住	to remember; to bear in mind; to learn by heart
L1-0169	1	家	家	jiā	1	N/M	家	家	home; family; (polite) my (sister, uncle etc); classifier for families or businesses; refers to the philosophical schools of pre-Han China; noun suffix for a specialist in some activity, such as a musician or revolutionary, corresponding to English -ist, -er, -ary or -ian; CL:個|个[ge4]
L1-0170	1	家里	家裡	jiā lǐ	1,3		家里	家裡	home
L1-0171	1	家人	家人	jiā rén	1,2	N	家人	家人	family member; (old) servant
L1-0172	1	间	間	jiān	1	M	间	間	between; among; within a definite time or space; room; section of a room or lateral space between two pairs of pillars; classifier for rooms
L1-0173	1	见	見	jiàn	4	V	见	見	to see; to meet; to appear (to be sth); to interview; opinion; view
L1-0174	1	见面	見面	jiàn miàn	4,4		见面	見面	to meet; to see each other; CL:次[ci4]
L1-0175	1	教	教	jiāo	1	V	教	教	to teach; to instruct
L1-0176	1	叫	叫	jiào	4	V	叫	叫	to shout; to call; to order; to ask; to be called; by (indicates agent in the passive mood)
L1-0177	1	教学楼	教學樓	jiào xué lóu	4,2,2	N	教学楼	教學樓	school building; academic building
L1-0178	1	姐姐	姐姐	jiě jie	3,5	N	姐姐|姐	姐姐|姐	older sister; CL:個|个[ge4]
L1-0179	1	介绍	介紹	jiè shào	4,4	V	介绍	介紹	to introduce (sb to sb); to give a presentation; to present (sb for a job etc); introduction
L1-0180	1	今年	今年	jīn nián	1,2	N	今年	今年	this year
L1-0181	1	今天	今天	jīn tiān	1,1	N	今天	今天	today; the present time; now
L1-0182	1	进	進	jìn	4	V	进	進	to go forward; to advance; to go in; to enter; to put in; to submit; to take in; to admit; (math.) base of a number system; classifier for sections in a building or residential compound
L1-0183	1	进来	進來	jìn lái	4,2		进来	進來	to come in
L1-0184	1	进去	進去	jìn qù	4,4		进去	進去	to go in
L1-0185	1	九	九	jiǔ	3	Num	九	九	nine; 9
L1-0186	1	就	就	jiù	4	Adv	就	就	(after a suppositional clause) in that case; then; (after a clause of action) as soon as; immediately after; (same as 就是[jiu4 shi4]) merely; nothing else but; simply; just; precisely; exactly; only; as little as; as much as; as many as; to approach; to move towards; to undertake; to engage in; (often followed by 著|着[zhe5]) taking advantage of; (of food) to go with; with regard to; concerning; (bound form) to reach; to attain (as in 一蹴而就[yi1 cu4 er2 jiu4]); (pattern: 就[jiu4] ... 也[ye3] ...) even if ... still ...; (pattern: 不[bu4] ... 就[jiu4] ...) if not ... then must be ...
L1-0187	1	觉得	覺得	jué de	2,5	V	觉得	覺得	to think that ...; to feel that ...; to feel (uncomfortable etc)
L1-0188	1	开	開	kāi	1	V	开	開	to open (transitive or intransitive); (of ships, vehicles, troops etc) to start; to turn on; to put in operation; to operate; to run; to boil; to write out (a prescription, check, invoice etc); (directional complement) away; off; carat (gold); abbr. for Kelvin, 開爾文|开尔文[Kai1 er3 wen2]; abbr. for 開本|开本[kai1 ben3], book format
L1-0189	1	开车	開車	kāi chē	1,1		开车	開車	to drive a car (or train etc); (slang) to post sexual content online; to make a sexual joke
L1-0190	1	开会	開會	kāi huì	1,4		开会	開會	to hold a meeting; to attend a meeting
L1-0191	1	开玩笑	開玩笑	kāi wán xiào	1,2,4		开玩笑	開玩笑	to play a joke; to make fun of; to joke
L1-0192	1	看	看	kàn	4	V	看	看	to see; to look at; to read; to watch; to visit; to call on; to consider; to regard as; to look after; to treat (a patient or illness); to depend on; to feel (that); (after a verb) to give it a try; to watch out for
L1-0193	1	看病	看病	kàn bìng	4,4		看病	看病	to visit a doctor; to see a patient
L1-0194	1	看到	看到	kàn dào	4,4		看到	看到	to see
L1-0195	1	看见	看見	kàn jiàn	4,4		看见	看見	to see; to catch sight of
L1-0196	1	考	考	kǎo	3	V	考	考	to check; to verify; to test; to examine; to take an exam; to take an entrance exam for; deceased father
L1-0197	1	考试	考試	kǎo shì	3,4		考试	考試	to take an exam; exam; CL:次[ci4]
L1-0198	1	渴	渴	kě	3	Adj	渴	渴	thirsty
L1-0199	1	课	課	kè	4	N	课	課	subject; course; CL:門|门[men2]; class; lesson; CL:堂[tang2],節|节[jie2]; to levy; tax; form of divination
L1-0200	1	课本	課本	kè běn	4,3	N	课本	課本	textbook; CL:本[ben3]
L1-0201	1	课文	課文	kè wén	4,2	N	课文	課文	text; CL:篇[pian1]
L1-0202	1	口	口	kǒu	3	M/N	口	口	mouth; classifier for things with mouths (people, domestic animals, cannons, wells etc); classifier for bites or mouthfuls
L1-0203	1	块	塊	kuài	4	N/M	块	塊	lump; chunk; piece; classifier for pieces of cloth, cake, soap etc; (coll.) classifier for money and currency units
L1-0204	1	快	快	kuài	4	Adj/Adv	快	快	rapid; quick; speed; rate; soon; almost; to make haste; clever; sharp (of knives or wits); forthright; plainspoken; gratified; pleased; pleasant
